Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
ZJst009	208	2099870	34822	1712	0.08153	1.00000	0.00000	0.00000	0.99959	0.00020	0.00001	0.00082	0.00081	0.00002	0.99918	0.00081	0.00002	0.00041	0.00020	0.00001	0.99959	0.00020	0.00001	0.00082	0.00081	0.00002	0.00000	0.00000	0.00000
ZJst010	192	2001963	33916	1630	0.08142	1.00000	0.00000	0.00000	0.99959	0.00020	0.00001	0.00081	0.00081	0.00002	0.99919	0.00081	0.00002	0.00041	0.00020	0.00001	0.99959	0.00020	0.00001	0.00081	0.00081	0.00002	0.00000	0.00000	0.00000
ZJst012	176	2160054	35842	1457	0.06745	1.00000	0.00000	0.00000	0.99966	0.00017	0.00001	0.00067	0.00067	0.00002	0.99933	0.00067	0.00002	0.00034	0.00017	0.00001	0.99966	0.00017	0.00001	0.00067	0.00067	0.00002	0.00000	0.00000	0.00000
ZJst014	249	2389947	38246	1790	0.07490	1.00000	0.00000	0.00000	0.99963	0.00019	0.00001	0.00075	0.00075	0.00002	0.99925	0.00075	0.00002	0.00037	0.00019	0.00001	0.99963	0.00019	0.00001	0.00075	0.00075	0.00002	0.00000	0.00000	0.00000
ZJst015	269	2336687	37680	1892	0.08097	1.00000	0.00000	0.00000	0.99960	0.00020	0.00001	0.00081	0.00081	0.00002	0.99919	0.00081	0.00002	0.00040	0.00020	0.00001	0.99960	0.00020	0.00001	0.00081	0.00081	0.00002	0.00000	0.00000	0.00000
ZJin001	246	1868794	30971	1625	0.08695	1.00000	0.00000	0.00000	0.99957	0.00022	0.00001	0.00087	0.00087	0.00002	0.99913	0.00087	0.00002	0.00043	0.00022	0.00001	0.99957	0.00022	0.00001	0.00087	0.00087	0.00002	0.00000	0.00000	0.00000
ZJin003	423	2221596	36135	2134	0.09606	1.00000	0.00000	0.00000	0.99952	0.00024	0.00001	0.00096	0.00096	0.00002	0.99904	0.00096	0.00002	0.00048	0.00024	0.00001	0.99952	0.00024	0.00001	0.00096	0.00096	0.00002	0.00000	0.00000	0.00000
Z_HI_BRY431	101	1186850	21879	941	0.07929	1.00000	0.00000	0.00000	0.99960	0.00020	0.00001	0.00079	0.00079	0.00003	0.99921	0.00079	0.00003	0.00040	0.00020	0.00001	0.99960	0.00020	0.00001	0.00079	0.00079	0.00003	0.00000	0.00000	0.00000
Z_HI_NAN290	277	1668018	28566	1483	0.08891	1.00000	0.00000	0.00000	0.99956	0.00022	0.00001	0.00089	0.00089	0.00002	0.99911	0.00089	0.00002	0.00044	0.00022	0.00001	0.99956	0.00022	0.00001	0.00089	0.00089	0.00002	0.00000	0.00000	0.00000
Z_HI_WAI087	129	1111076	20583	865	0.07785	1.00000	0.00000	0.00000	0.99961	0.00019	0.00001	0.00078	0.00078	0.00003	0.99922	0.00078	0.00003	0.00039	0.00019	0.00001	0.99961	0.00019	0.00001	0.00078	0.00078	0.00003	0.00000	0.00000	0.00000
Z_HI_WAI078	165	1570415	27968	1515	0.09647	1.00000	0.00000	0.00000	0.99952	0.00024	0.00001	0.00096	0.00096	0.00002	0.99904	0.00096	0.00002	0.00048	0.00024	0.00001	0.99952	0.00024	0.00001	0.00096	0.00096	0.00002	0.00000	0.00000	0.00000
Z_HI_SOL783	107	1222937	22774	1014	0.08292	1.00000	0.00000	0.00000	0.99959	0.00021	0.00001	0.00083	0.00083	0.00003	0.99917	0.00083	0.00003	0.00041	0.00021	0.00001	0.99959	0.00021	0.00001	0.00083	0.00083	0.00003	0.00000	0.00000	0.00000
