ID,tissue.num,Catalogue.num,Institution,Genus,Species,Subspecies,Island.Province,Country,lat,long
ZjaDOT-5235,AMNH:DOT-5235,27674,AMNH,Zosterops,simplex,,Taiwan,extract: GFB 3386,23.83,120.8
Z_LA_122866_2,LACM:122866,122866,LACM,Zosterops,simplex,,LA county,,33.6966,-118.0183
Z_LA_122577_2,LACM:122577,122866,LACM,Zosterops,simplex,,LA county,,33.6966,-118.0183
Z_LA_122188_2,LACM:122188,122577,LACM,Zosterops,simplex,,LA county,,33.6966,-118.0183
Zsim13809,KU Tissue Number: 13809,99789,KU,Zosterops,simplex,,Libo, 8 km N,,25.48465,107.8818
Zsim13773,KU Tissue Number: 13773,110336,KU,Zosterops,simplex,,Libo, 8 km N,,25.48465,107.8818
Zsim6797,KU Tissue Number: 6797,92711,KU,Zosterops,simplex,,Dawei Shan National Park,Asia | China | Hunan | Liuyang,28.4166667,114.1166667
Zsim10336,KU Tissue Number: 10336,96551,KU,Zosterops,simplex,,Shiwandashan National Nature Preserve,Asia | China | Guangxi,21.84,107.88
Zsim11362,KU Tissue Number: 11362,97426,KU,Zosterops,simplex,,Dashahe Nature Preserve,Asia | China | Guizhou | Daozhen,29.1668333,107.575
Zsim11102,KU Tissue Number: 11102,98946,KU,Zosterops,simplex,,Kuan Kuo Shui Nature Reserve,Asia | China | Guizhou | Suiyang,28.22605,107.1596167
Zsim11220,KU Tissue Number: 11220,98952,KU,Zosterops,simplex,,Kuan Kuo Shui Nature Reserve,Asia | China | Guizhou | Suiyang,28.22605,107.1596167
Zmon20899,KU:20899,KU116887,KU,Zosterops,japonicus,diuatae,Mindanao,,10.6743,123.1886
Zmon28375,KU:28375,KU122171,KU,Zosterops,japonicus,diuatae,Mindanao,,9.079,125.665
Zev13949,KU:13949,KU110475,KU,Zosterops,everetti,basilanicus,Camiguin Sur,,9.1925167,124.70845
Zev31650,KU:31650,KU123410,KU,Zosterops,everetti,boholensis,Samar,,11.828,125.276
Zev28451,KU:28451,KU122172,KU,Zosterops,everetti,basilanicus,Mindanao,,9.074,125.642
Z_HI_BRY431,,,USNM,Zosterops,japonicus,,Hawaii,,19.566,-155.453
Z_HI_NAN290,,,USNM,Zosterops,japonicus,,Hawaii,,19.566,-155.453
Z_HI_WAI087,,,USNM,Zosterops,japonicus,,Hawaii,,19.566,-155.453
Z_HI_WAI078,,,USNM,Zosterops,japonicus,,Hawaii,,19.566,-155.453
Z_HI_SOL783,,,USNM,Zosterops,japonicus,,Hawaii,,19.566,-155.453
