ID,tissue.num,Catalogue.num,Institution,Genus,Species,Subspecies,Island.Province,Country,lat,long
Zsim28142,KU Tissue Number: 28142,,KU,Zosterops,simplex/palpebrosus,,Ngoc Linh Nature Reserve,Asia | Vietnam | Lao Cai,21.949,104.255
Zsim30897,KU Tissue Number: 30897,,KU,Zosterops,simplex/palpebrosus,,Muong Nhe Nature Reserve,Asia | Vietnam | Kon Tum,15.11,107.824
Zpal23498,KU Tissue Number: 23498,,KU,Zosterops,palpebrosus,,Muong Nhe Nature Reserve,Asia | Vietnam | Dien Bien |  |  |  |  |,22.386,102.238
Zpal23522,KU Tissue Number: 23522,,KU,Zosterops,palpebrosus,,Muong Nhe Nature Reserve,Asia | Vietnam | Dien Bien |  |  |  |  |,22.386,102.238
Zmon20893,KU Tissue Number: 20893,,KU,Zosterops,montanus,,"Negros Island, Mt. Bungol",Unplaced | Philippines | Negros Occidental |  |  |  |  |,10.67433,123.18858
Zmon20892,KU Tissue Number: 20892,,KU,Zosterops,montanus,,"Negros Island, Mt. Bungol",Unplaced | Philippines | Negros Occidental |  |  |  |  |,10.67433,123.18858
Zmon20891,KU Tissue Number: 20891,,KU,Zosterops,montanus,,"Negros Island, Mt. Bungol",Unplaced | Philippines | Negros Occidental |  |  |  |  |,10.67433,123.18858
Zmon20902,KU Tissue Number: 20902,,KU,Zosterops,montanus,,"Negros Island, Mt. Bungol",Unplaced | Philippines | Negros Occidental |  |  |  |  |,10.67433,123.18858
Zmon20909,KU Tissue Number: 20909,,KU,Zosterops,montanus,,"Negros Island, Mt. Marapara",Unplaced | Philippines | Negros Occidental |  |  |  |  |,10.66549,123.17865
Zmon27152,KU Tissue Number: 27152,128247,KU,Zosterops,montanus,,"Tampakan,N 6 28 06,E 125 03 23,1250m",Philippines; South Cotabato,6.468,125.056
Zmon27153,KU Tissue Number: 27153,128248,KU,Zosterops,montanus,,"Tampakan,N 6 28 06,E 125 03 23,1250m",Philippines; South Cotabato,6.468,125.056
Zsim31166,KU Tissue Number: 31166,129026,KU,Zosterops,simplex,,N/A,Indonesia; Java,,
Zsim31171,KU Tissue Number: 31171,129029,KU,Zosterops,simplex,,N/A,Indonesia; Java,,
Zsim31159,KU Tissue Number: 31159,129021,KU,Zosterops,simplex,,N/A,Indonesia; Java,,
Zem17804,KU Tissue Number: 17804,113029,KU,Zosterops,emiliae,,"Mt. Kinabalu, Ubah, ca. 3.4 km N park headquarters",Asia | Malaysia | Sabah |  |  |  |  |,6.0353333,116.5503333
Zem17802,KU Tissue Number: 17802,113030,KU,Zosterops,emiliae,,"Mt. Kinabalu, Ubah, ca. 3.4 km N park headquarters",Asia | Malaysia | Sabah |  |  |  |  |,6.0353333,116.5503333
Zmey17876,KU Tissue Number: 17876,112108,KU,Zosterops,meyeni,,"Batan Island; Municipality of Basco; Barangay San Antonio, Sitio Chadpidan",Unplaced | Philippines | Batanes |  |  |  |  |,20.47,121.991
Zmey17877,KU Tissue Number: 17877,112109,KU,Zosterops,meyeni,,"Batan Island; Municipality of Basco; Barangay San Antonio, Sitio Chadpidan",Unplaced | Philippines | Batanes |  |  |  |  |,20.47,121.991
Zmey17852,KU Tissue Number: 17852,112216,KU,Zosterops,meyeni,,Batan Island; Municipality Basco; Barangay Kayvaluganan; Sitio Masupit,Unplaced | Philippines | Batanes |  |  |  |  |,20.457,121.99
Zmey17853,KU Tissue Number: 17853,112217,KU,Zosterops,meyeni,,Batan Island; Municipality Basco; Barangay Kayvaluganan; Sitio Masupit,Unplaced | Philippines | Batanes |  |  |  |  |,20.457,121.99
